Date,RSI_14,RSI_5,RSI_7,RSI_50,ROC_12,ROC_25,ROC_200,MACD,TRIX_15,TRIX_30,MA_10,MA_20,MA_50,MA_100,MA_200,EMA_12,EMA_26,EMA_50,EMA_200,ADX,CCI,NegativeVolume,ADI,MFI,OBV,Bollinger_mavg,Bollinger_hband,Bollinger_lband,Bollinger_hband_indicator,Bollinger_lband_indicator
2014-11-28,68.91423037875563,82.02077841456315,79.11856076335054,54.2973029737606,8.534984150930404,8.1295173919407,-5.195967783964261,7.329815426028006,0.21277034901171993,-0.07451960551121405,330.8400054931641,318.02600250244143,314.911201171875,324.47180114746095,327.6604507446289,327.86401336023147,320.53419793420346,318.81515062283665,324.96222660260526,30.9984076606415,107.78045656410788,1198.9359118639318,228639367.19458595,81.57957716048061,124810100,318.02600250244143,346.01201070997075,290.0399942949121,0.0,0.0
2014-12-01,54.66710991437786,40.76430991323275,48.42104937647909,51.0587151227344,4.651532785504077,13.565109305575726,-8.772913269360428,6.638169912742455,0.2354928200602679,-0.06308367062136941,330.6580047607422,319.0530029296875,314.80480102539065,324.4526010131836,327.50370071411135,327.577242074042,320.9390721612995,319.0969094219411,324.97255270606195,30.227886121743285,61.95665245234392,1198.9359118639318,223741534.3190502,73.0145416757239,119865200,319.0530029296875,346.62352589120144,291.4824799681736,0.0,0.0
2014-12-02,54.91329518284966,41.66386247293349,48.98736692236071,51.13165913357198,3.106037105354587,12.5323296151009,-7.73080639325367,6.045362892332605,0.249428811327059,-0.05227526917008789,330.9840057373047,320.082502746582,314.8410009765625,324.2537008666992,327.3670007324219,327.3822813793576,321.336918487025,319.3797756233785,324.9858606150424,29.107899407130237,32.191769843837754,1200.0759953166562,224600090.96445885,67.29239578933138,122655500,320.082502746582,347.11717056725,293.047834925914,0.0,0.0
2014-12-03,46.33746397079704,26.028389408338796,34.85742834799862,48.78378755669046,-3.4531166711320025,7.073988944540272,-8.889401937002612,4.729456015344965,0.25025711359557506,-0.04292542661112364,330.14100646972656,320.76700286865236,314.6984008789062,323.86550079345704,327.2126007080078,325.7080842440718,320.97862822872685,319.26684324599114,324.9014241910121,27.16821791733845,-8.399793220445021,1200.0759953166562,220878385.02250862,59.404124189218,116974500,320.76700286865236,346.6879997745864,294.8460059627183,0.0,0.0
2014-12-04,46.73016039873916,27.51870959869528,35.80432137826932,48.88875798541396,-1.8944421446966861,7.755337255974544,-9.3967971024178,3.6788793193018705,0.2421059061952223,-0.0348363641970041,329.1800048828125,321.7875030517578,314.4728009033203,323.49040069580076,327.0482507324219,324.3576086181809,320.67872929887903,319.17520204715936,324.82210646449244,25.474184820390953,-33.62210462893066,1201.7064025468837,222035124.37472472,53.40216979779797,120264800,321.7875030517578,345.3054407030462,298.26956540046945,0.0,0.0
2014-12-05,43.31642969052864,21.98254841183146,30.612826756231897,47.887238518730705,-3.785427036660729,4.534054644902421,-9.84254352336677,2.4708343993812036,0.2251941636122695,-0.02823216161586179,327.3890045166016,322.5870025634766,314.28680114746095,323.05770080566407,326.87760070800783,322.5533618896627,320.0825274902815,318.91852764855753,324.7007920208937,24.22120329524874,-64.67036650161798,1185.402098817037,220689379.02677903,41.77921852660083,116999600,322.5870025634766,343.5829382043751,301.591066922578,0.0,0.0
2014-12-08,39.038188906662704,16.279659783229633,24.774726901200424,46.53224501478548,-6.094197763134666,0.3863102292834683,-12.831879097020446,1.0183688234888564,0.19904821644721216,-0.023423082943023966,324.7900054931641,322.92600402832034,313.9554016113281,322.59960083007815,326.6519007873535,320.10515462178194,319.0867857982931,318.4370173348274,324.5210827933071,23.732810793378754,-105.38629944879762,1185.402098817037,218178522.4959079,42.88428624888076,113360400,322.92600402832034,342.6218779085634,303.23013014807725,0.0,0.0
2014-12-09,44.783775536226784,36.442936298478955,38.22161629378671,48.00102433226939,-5.457738270273614,2.2177151485755453,-12.787454339037069,0.33625509465520054,0.171152551204541,-0.01964121334409186,322.4760040283203,323.2955047607422,313.76900146484377,322.138000793457,326.42280075073245,318.9351308338155,318.5988757391603,318.2041931256185,324.40147002919457,23.65286007399745,-113.3717475245312,1185.402098817037,221489384.20489228,35.385825555152294,117409900,323.2955047607422,341.8868880455598,304.7041214759246,0.0,0.0
2014-12-10,40.15201132748297,27.152630941393156,30.898169400049085,46.51902811925567,-8.053996377855373,1.0006270611030832,-14.997218812060398,-0.7332788037691103,0.13885796386094276,-0.017304134380114133,319.5560028076172,322.9870040893555,313.43700134277344,321.5988006591797,326.153000793457,316.92049475751935,317.65377356128846,317.71932266335466,324.2167787486841,23.578620120286235,-121.15741987021532,1160.1387953956175,219128384.69044754,28.809275032301144,114164000,322.9870040893555,342.4991879032984,303.4748202754126,0.0,0.0
2014-12-11,41.635636375701296,32.091386000034305,34.25244590326345,46.90081792261261,-8.425702557097255,3.6557388167820335,-14.653047181786905,-1.4416235743354378,0.10570503545970239,-0.016045535507858175,316.93500061035155,322.77950286865234,313.2350012207031,321.0640005493164,325.88915069580077,315.4496471566029,316.89127073093834,317.31307414132357,324.04904946115056,23.509683020411536,-112.49361747230124,1160.1387953956175,217194242.48692352,28.254264427685754,117426900,322.77950286865234,342.8555969446324,302.7034087926723,0.0,0.0
2014-12-12,41.60642173432772,32.02001593630642,34.20150317468982,46.89183377068947,-8.273639121814448,3.6003209777476,-15.128416972088257,-1.9833549201304095,0.07318076983742461,-0.01568456441734807,313.80299987792966,322.3215026855469,313.0132012939453,320.55580047607424,325.6152507019043,314.1989333362361,316.1822882563665,316.9211891681038,323.8825913304348,23.780371408822806,-115.69438548973001,1159.9878972218303,217603407.91368937,19.439717611633526,114273400,322.3215026855469,343.34703425027266,301.2959711208211,0.0,0.0
2014-12-15,40.646076645096365,29.45936892364253,32.44144798624872,46.60698766813731,-8.244146474857054,2.07097387981777,-14.92856513350147,-2.484901075153516,0.04156037474954434,-0.016164779166222023,311.81000061035155,321.2340026855469,312.6798016357422,320.0304006958008,325.3467007446289,312.94832933438727,315.4332304095408,316.4956526252064,323.70535168858197,24.127017073363664,-104.41754447095774,1159.9878972218303,217219704.20707887,13.162024635843167,110431800,321.2340026855469,343.23668120937293,299.23132416172086,0.0,0.0
2014-12-16,33.34537041092159,15.665938433919308,21.21996532848236,44.19414282797415,-12.86912804297117,-3.293890162719082,-18.917284279337736,-3.727823758253919,0.00503349174714978,-0.018255579803940738,308.68500061035155,319.8345031738281,312.13700134277343,319.74090057373047,325.00250076293946,310.19627829195747,313.9241020502114,315.6550387010255,323.4203232892786,25.167376236332505,-136.17013495909637,1159.9878972218303,210786966.71931168,12.3038797351348,103930500,319.8345031738281,344.5860610073203,295.0829453403359,0.0,1.0
